dataset,case,query_type,route,route_reason,visual_attribute,pure_ordinal,pure_geometric,caption
scanrefer_250,13,explicit_direction,E0,visual_attribute_default_e0,True,False,False,"the picture is above the counter that 's between two chairs . the picture is blue , gold , and white ."
scanrefer_250,14,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the chair is south of the northwestern - most bookshelf . the chair is gray and has four legs .
scanrefer_250,15,ordinal,E0,visual_attribute_default_e0,True,False,False,the chair the right - most one on the northern side of the table . the chair is red with two arms .
scanrefer_250,16,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,the chair is next to the northeast - most table . the chair is black with four legs .
scanrefer_250,17,viewpoint_guided,E0,visual_attribute_default_e0,True,False,False,an l - shaped desk with a wood top . it is opposite the window in the room and directly to your left when you enter the door .
scanrefer_250,18,none,E0,visual_attribute_default_e0,True,False,False,this towel is hanging . it is green .
scanrefer_250,19,explicit_direction,E0,default_e0,False,True,False,"this is a table . this table is front of the book shelves , the book shelves it is in front of are the second and the third from the left . the third book shelf from the left is shorter than all the rest ."
scanrefer_250,20,explicit_direction,E0,default_e0,False,False,True,this table is to the left of the couch . it 's positioned on the floor between the rug and the carpet .
scanrefer_250,21,explicit_direction,E0,default_e0,False,False,False,a door stands in the hall . it 's to the right of some clothes hanging on the wall .
scanrefer_250,22,explicit_direction,E0,visual_attribute_default_e0,True,False,False,"this is a tan . metal frame chair . the chair is at the second table back , on the right side of the room . this chair is on the front left side edge of the table ."
scanrefer_250,23,geometric,E0,visual_attribute_default_e0,True,False,False,a small circular table sits in the middle of the floor . it 's surrounded by four chairs .
scanrefer_250,24,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the white towel is hanging on the wall in the bathroom . it is on the right wall next to the toilet .
scanrefer_250,25,ordinal,E0,visual_attribute_default_e0,True,False,False,the table is black and against the back right wall . there are chairs around it .
scanrefer_250,26,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,there is a white plastic soap dispenser placed on the side of the wall .
scanrefer_250,27,ordinal,E0,visual_attribute_default_e0,True,False,False,the chair is black and pushed into a desk . it is the chair furthest to the left . that is on the left .
scanrefer_250,28,none,E0,visual_attribute_default_e0,True,False,False,the bookshelf has a white board leaning on it . the bookshelf has 3 layers .
scanrefer_250,29,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the door is rectangular and white . it is located to the left of the world map on the wall .
scanrefer_250,30,opposite_derived,E0,visual_attribute_default_e0,True,False,False,this is a brown door . it is across from an armchair .
scanrefer_250,31,explicit_direction,E0,default_e0,False,False,False,large larder style stainless steel fridge freezer . has a split upper and lower areas with large wide handle . located to the left of the large larder style kitchen unit .
scanrefer_250,32,explicit_direction,E0,default_e0,False,False,True,this picture is located on the back wall of the room . it is above the left bed .
scanrefer_250,33,explicit_direction,E0,visual_attribute_default_e0,True,False,False,there are dark brown kitchen cabinet . they are beneath the counter directly to the left of the doorway .
scanrefer_250,34,explicit_direction,E0,visual_attribute_default_e0,True,False,False,"a brown ottomon with two black knapsacks and a tissue box on it sits in front of a matching brown leather sofa , which is up against a wall . to its left is a black piano ."
scanrefer_250,35,explicit_direction,E0,visual_attribute_default_e0,True,False,False,"wooden cabinets are on the wall to the left of the kitchen sink . they are in the corner , to the left of the windows that sit above the sink ."
scanrefer_250,36,explicit_direction,E0,visual_attribute_default_e0,True,False,False,there is a rectangular red pillow . it is on the right side of a bed .
scanrefer_250,37,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,there is a rectangular brown door . it is next to a light switch .
scanrefer_250,38,geometric,E0,visual_attribute_default_e0,True,False,False,this is a armchair . its white with patterns on it . its closest to the window in the room .
scanrefer_250,39,explicit_direction,E0,default_e0,False,True,False,a rolling office chair on the right side of the table from the head chair . it is the second to last chair .
scanrefer_250,40,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a red office chair . it is at the end with the tv and to the left .
scanrefer_250,41,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a black chair . the back of the chair is against the wall .
scanrefer_250,42,explicit_direction,E0,visual_attribute_default_e0,True,False,False,a brown wooden door . on the left to the paper box .
scanrefer_250,43,uncategorized,E0,visual_attribute_default_e0,True,False,False,"the refrigerator is in a corner and left of the oven . the refrigerator is a white , boxy prism ."
scanrefer_250,44,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a pillow . its pink in color and is on top of the pattered sofa .
scanrefer_250,45,object_orientation,E0,visual_attribute_default_e0,True,False,False,this is a black chair facing away from the viewer . it is closest to the viewer .
scanrefer_250,46,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a black office chair . it is to the left of a computer tower .
scanrefer_250,47,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,there is a white drying rack . placed next to another one .
scanrefer_250,48,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,the grey cushioned chair has wooden arms on each side . this grey cushioned chair has another beside it on the left .
scanrefer_250,49,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a black chair in a small classroom . it is on the right side of the table and is next to the wall .
scanrefer_250,50,opposite_derived,E0,visual_attribute_default_e0,True,False,False,the chair is on the opposite side from the green paper cutter and has a chair to its right . the chair is gold and has four legs .
scanrefer_250,51,none,E0,visual_attribute_default_e0,True,False,False,this pillow is on the bed . it is brown .
scanrefer_250,52,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the tiny mini fridge . the mini fridge on the corner by the whiteboard .
scanrefer_250,53,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the file cabinet is below the center desk on the right side of the room . the file cabinet is a dark gray box .
scanrefer_250,54,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,False,False,True,this picture is hanged on the wall besides another picture . two monitors are present on the table under these pictures .
scanrefer_250,55,object_orientation,E0,default_e0,False,False,False,the book shelf is in the back corner of the room . there is a window to the right of it on the adjoining wall and a desk in front of it .
scanrefer_250,56,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,there is a rectangular computer tower . it is on a stand with wheels next to a sofa .
scanrefer_250,57,none,E0,visual_attribute_default_e0,True,False,False,the gray padded chair is on rollers . it is the only rolling chair at the table .
scanrefer_250,58,explicit_direction,E0,visual_attribute_default_e0,True,False,False,a black chair . in front of the door .
scanrefer_250,59,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the door is right of the purple chair . the door is a brown rectangle .
scanrefer_250,60,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,a small wooden cabinet . there is three small bins near it .
scanrefer_250,61,explicit_direction,E0,visual_attribute_default_e0,True,False,False,there is a rectangular computer tower . it is on a stand with wheels .
scanrefer_250,62,none,E0,default_e0,False,False,False,two windows . on the side of the bathroom .
scanrefer_250,63,ordinal,E0,visual_attribute_default_e0,True,False,False,the cabinet is in the middle of the room . the cabinet is a white prism with a blue top .
scanrefer_250,64,geometric,seeground_ablation_3dpos_only,pure_geometric_3dpos,False,False,True,this is a tan end table . it is in between to couches .
scanrefer_250,65,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a red office chair . it is at the back head of the table next to a black chair .
scanrefer_250,66,ordinal,E0,visual_attribute_default_e0,True,False,False,this is a chair . its blue in color and is in the center of the room 5th from each corner .
scanrefer_250,67,none,E0,visual_attribute_default_e0,True,False,False,this table is in the middle . it is square .
scanrefer_250,68,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a trash can that has a bag in it . it is left of the counter on the floor in the corner .
scanrefer_250,69,viewpoint_guided,E0,visual_attribute_default_e0,True,False,False,this is a black door with a metal handle . it is the entrance to the room .
scanrefer_250,70,geometric,E0,visual_attribute_default_e0,True,False,False,an oval shaped sink . it is above a white cabinet .
scanrefer_250,71,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a rectangular radiator . it is under a window .
scanrefer_250,72,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the recycling bin is on the floor partially under the table . it is green at the top .
scanrefer_250,73,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the backpack is yellow . the backpack is on the back of the black chair .
scanrefer_250,74,explicit_direction,E0,default_e0,False,False,False,the armchair is to the right of the other chair . it is facing the table .
scanrefer_250,75,geometric,E0,default_e0,False,False,False,this chair is facing down and right . it is curved and is the closest the viewer .
scanrefer_250,76,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a white soap dispenser . it is above the sink .
scanrefer_250,77,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,the small wooden bookshelf . the shelf is by the desk .
scanrefer_250,78,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the table is brown . the table is on the right side of the room .
scanrefer_250,79,uncategorized,E0,visual_attribute_default_e0,True,False,False,an ottoman made from leather . it is the one furthest to the left .
scanrefer_250,80,explicit_direction,E0,default_e0,False,True,False,the object is a chair . it is on the right side of the room from the doorway at the end table . it is the second one next to the wall .
scanrefer_250,81,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a grey patterned couch . its on the wall where the entry way is on the left .
scanrefer_250,82,explicit_direction,E0,visual_attribute_default_e0,True,False,False,there is one purple chair in the room the purple chair is in front of a brown wooden door . the wooden door is the item we are looking for . the brown wooden door has shiny brass hardware . the purple chair and the brown wooden door are to the right of the big desk in front of all the little desks in the room .
scanrefer_250,83,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the whiteboard is on the white wall . it is to the right of the doors .
scanrefer_250,84,explicit_direction,E0,default_e0,False,False,False,it is a chair . there is a table in front and a bookshelf behind it . a backpack is in the seat .
scanrefer_250,85,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the chair is left of the table north of the green table . the chair is brown with four legs .
scanrefer_250,86,room_side,E0,default_e0,False,False,False,the trash can is located along the far wall of the room . the trash can is also directly to the right of the toilet and underneath the toilet paper .
scanrefer_250,87,explicit_direction,E0,visual_attribute_default_e0,True,False,False,there is a square brown chair . it is against the wall and next to the door .
scanrefer_250,88,object_orientation,E0,visual_attribute_default_e0,True,False,False,this is a white rectangular pillow . it is sitting at the head of the bed .
scanrefer_250,89,explicit_direction,E0,visual_attribute_default_e0,True,False,False,it is a black trash can . the black trash can sits to the left of another black trash can that has a clear white trash bag in it .
scanrefer_250,90,none,E0,visual_attribute_default_e0,True,False,False,there are two large wooden doors . the doors are a golden wooden color with large dark handles .
scanrefer_250,91,room_side,E0,default_e0,False,False,False,this is a lamp . the lamp is at the corner of the room .
scanrefer_250,92,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a white pillow . it is under the picture .
scanrefer_250,93,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a black sofa chair . it is to the left of the lamp .
scanrefer_250,94,explicit_direction,E0,default_e0,False,False,False,the picture is affixed to the wall . it is located to the left of the door .
scanrefer_250,95,geometric,seeground_ablation_3dpos_only,pure_geometric_3dpos,False,False,True,the pillow on the bed farther from the door . it is the top pillow on the side of the bed that is closer to the table between the beds .
scanrefer_250,96,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this tv is on the left wall . it is black .
scanrefer_250,97,geometric,seeground_ablation_3dpos_only,pure_geometric_3dpos,False,False,True,the item is in end table . what is the only in end table found between the two couches in the room .
scanrefer_250,98,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,there is a rectangular dark cabinet . it is next to a white cabinet .
scanrefer_250,99,none,E0,visual_attribute_default_e0,True,False,False,"there is a black desk with a clear rectangular glass . the desk is located near the window , and has a office chair pulled up to it ."
scanrefer_250,100,explicit_direction,E0,default_e0,False,False,False,the couch has a pillow on the left side of it . there is a fire extinguisher on the wall behind the couch .
scanrefer_250,101,explicit_direction,E0,default_e0,False,False,False,the cool office chair . the chair is by the desk .
scanrefer_250,102,explicit_direction,E0,visual_attribute_default_e0,True,False,False,there is a rectangular monitor . it is to the right of the one closest to the door .
scanrefer_250,103,none,E0,visual_attribute_default_e0,True,False,False,there is a rectangular gray cabinet . it is on a wall next to a shelf .
scanrefer_250,104,explicit_direction,E0,visual_attribute_default_e0,True,False,False,a medium sized wooden chair . the chair is in front of a window with blinds .
scanrefer_250,105,room_side,E0,visual_attribute_default_e0,True,False,False,this is a simple dark square table with four chairs pushed up to it . it is near the end of the room . the chair on its right side is a rolling office chair .
scanrefer_250,106,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the brown shelf is to the left of the window . it is so tall that it reaches the ceiling .
scanrefer_250,107,explicit_direction,E0,default_e0,False,False,False,there are two carts with shelves and wheels against the wall . the one we want is on the left .
scanrefer_250,108,explicit_direction,E0,visual_attribute_default_e0,True,False,False,"this is a brown leather chair located under the first dark brown table immediately inside the door . it is on the middle side of the room , relative to the table ."
scanrefer_250,109,explicit_direction,E0,default_e0,False,False,False,the door is to the right of the mail cubbies . it is directly across from the cabinets .
scanrefer_250,110,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,this is a chair against the wall by the plugins . this is by the right corner of the white board .
scanrefer_250,111,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the window is tall and has a brown frame . the window is on the right of another one .
scanrefer_250,112,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,False,False,False,the large hanging curtain . the curtain is next to the little shelf .
scanrefer_250,113,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a white bathtub . it is behind a shower curtain .
scanrefer_250,114,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the cart is below the announcement board . the cart is to the left of the black cart .
scanrefer_250,115,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a black chair . there are many black chairs in this room . but there are only two chairs that are right in front of the blackboard . if you are looking at the blackboard give me the chair on the left . if you are standing behind the chairs it is the chair on the right .
scanrefer_250,116,geometric,E0,visual_attribute_default_e0,True,False,False,the bench is between two large bookshelves . the bench is rectangular and red brown in color .
scanrefer_250,117,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,this is a wooden desk . the desk is close to wall .
scanrefer_250,118,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,the object referenced here is a long black couch against a wall in the room . it has various pillows on it and is near a hanging orange sweater and a whiteboard .
scanrefer_250,119,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the office chair is black and is pushed out from the desk . the chair is the second from the right .
scanrefer_250,120,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a brown bed . it is to the left of another bed .
scanrefer_250,121,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the green instrument case has a gray rolled up sleeping bag in front of it . the instrument case is to the left of the white dresser .
scanrefer_250,122,room_side,E0,visual_attribute_default_e0,True,False,False,this is a black chair . it is in the corner of the room .
scanrefer_250,123,ordinal,E0,visual_attribute_default_e0,True,False,False,the towel is hanging on the wall . it is the right most towel hanging . it is light colored .
scanrefer_250,124,none,E0,visual_attribute_default_e0,True,False,False,the door is open facing the inside of the small bedroom . it sits midway in the wall and has a closet on one side of it .
scanrefer_250,125,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the brown wooden chair . the chair is in the back in the middle .
scanrefer_250,126,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,it is a black cabinet . the black cabinet is sitting next to the white cabinet and the white rail across from the white door .
scanrefer_250,127,explicit_direction,E0,visual_attribute_default_e0,True,False,False,there is a long black couch in the room . it is by the wall with a picture .
scanrefer_250,128,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,False,False,False,there is a cylindrical table . it is next to a curtain .
scanrefer_250,129,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,a white pillow . next to the black pillow .
scanrefer_250,130,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,there is a rectangular door . it is next to a map .
scanrefer_250,131,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a small square gray pillow . it is located on a black couch .
scanrefer_250,132,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a white cabinet . it is to the left of a toilet .
scanrefer_250,133,explicit_direction,E0,visual_attribute_default_e0,True,False,False,it is a white toilet with the lid up at the end of the bathroom . there is a toilet on the right side hanging up .
scanrefer_250,134,explicit_direction,E0,visual_attribute_default_e0,True,False,False,"the trash can is on the floor to the left of the cabinet . there is a small white bin beside it , to the right ."
scanrefer_250,135,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,the trash can is grey and is on the floor . it is in the far corner of the room against the red wall and the glass wall .
scanrefer_250,136,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the armchair on the left side of the room . it is grey .
scanrefer_250,137,opposite_derived,E0,visual_attribute_default_e0,True,False,False,it is a brown leather couch with a bag on the left cushion . there is a fire extinguisher behind it and it is across from another identical couch .
scanrefer_250,138,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,this is a plain office chair . it si near the corner of the table . it is slightly pulled out and by the white board .
scanrefer_250,139,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a black chair on the right corner . it has an object on it .
scanrefer_250,140,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the pillow is on top of a bed that is to the left of a desk and a drawer . the pillow is a white rectangle .
scanrefer_250,141,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the table is brown and round . it is on the right side of the room .
scanrefer_250,142,object_orientation,E0,visual_attribute_default_e0,True,False,False,this is a yellow office chair . it is facing the table .
scanrefer_250,143,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the window has blinds on it . it is to the right of the bed in the room .
scanrefer_250,144,ordinal,E0,visual_attribute_default_e0,True,False,False,"a white laundry basket is on top of a laundry machine . it is located at the far left machine , across from the door ."
scanrefer_250,145,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a gray office chair . it is to the left of the monitors .
scanrefer_250,146,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,this chair is kept closer to the table . on right a white board can be seen on the wall .
scanrefer_250,147,none,E0,default_e0,False,False,False,this is a window in the meeting room . it is near the chalkboard .
scanrefer_250,148,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,a red cube shaped footrest . the footrest is near the end of a large blue couch and a wooden table .
scanrefer_250,149,explicit_direction,E0,default_e0,False,True,True,"this printer is directly below the window . it is sitting on the counter , in the corner ."
scanrefer_250,150,geometric,E0,visual_attribute_default_e0,True,False,False,this is a white two drawer storage bin . it is between the bedside table and the wall .
scanrefer_250,151,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the table is dark brown . it is to the right of two tall chairs tucked under it .
scanrefer_250,152,explicit_direction,E0,visual_attribute_default_e0,True,False,False,there is a white toilet flush button above the toilet . it is to the left of the sink .
scanrefer_250,153,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a black mattress . it is to the right of the radiator .
scanrefer_250,154,room_side,E0,visual_attribute_default_e0,True,False,False,it is a grey circular table in the corner of the room . there is a lamp on top of it .
scanrefer_250,155,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,a brown wooden chair . it is in between multiple wooden chairs next to a wall .
scanrefer_250,156,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this pillow is by the wall . it is dark .
scanrefer_250,157,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the chair is pulled into the desk . the chair has a wall behind it . the couch is in the background past it .
scanrefer_250,158,none,E0,visual_attribute_default_e0,True,False,False,there are white washing machines . they are an island in the middle of the room .
scanrefer_250,159,explicit_direction,E0,visual_attribute_default_e0,True,False,False,it is a gray trash can . the gray trash can sits at the bottom right of the long beige table behind the brown chairs .
scanrefer_250,160,uncategorized,E0,default_e0,False,True,False,this fridge is in the corner on the back right . it faces left and is behind the cabinet . there is a table to the left and in front .
scanrefer_250,161,room_side,E0,visual_attribute_default_e0,True,False,False,the cabinet is south of the northwest table . the cabinet is gray with four legs .
scanrefer_250,162,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,False,False,False,the radiator on the wall . the radiator is next to the toilet .
scanrefer_250,163,none,E0,visual_attribute_default_e0,True,False,False,the shelf is black . there is a white lamp on top of it .
scanrefer_250,164,explicit_direction,E0,default_e0,False,False,False,this shelf is on the other side . it is on the wall .
scanrefer_250,165,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a white monitor . it is on the floor .
scanrefer_250,166,ordinal,E0,default_e0,False,False,False,trashcan sitting in a hallway .
scanrefer_250,167,geometric,seeground_ablation_3dpos_only,pure_geometric_3dpos,False,False,True,this is a chair . it sets between 2 tables .
scanrefer_250,168,uncategorized,E0,visual_attribute_default_e0,True,False,False,the microwave is left of the door . the microwave is a white rectangular prism .
scanrefer_250,169,explicit_direction,E0,default_e0,False,False,True,the kitchen table chair . the chair is on the right under the table .
scanrefer_250,170,explicit_direction,E0,default_e0,False,False,False,this is a chair . it sets against the wall by another chair .
scanrefer_250,171,ordinal,E0,visual_attribute_default_e0,True,False,False,it is a wooden desk chair . it is the chair that is second to last on the right side of the table .
scanrefer_250,172,object_orientation,E0,visual_attribute_default_e0,True,False,False,this is a black chair . it is at the corner of the table .
scanrefer_250,173,uncategorized,E0,visual_attribute_default_e0,True,False,False,this cabinet is on the other side . its green in color .
scanrefer_250,174,geometric,E0,visual_attribute_default_e0,True,False,False,this towel is curled . it is hung .
scanrefer_250,175,none,E0,visual_attribute_default_e0,True,False,False,there is a table that has two chairs tucked under it . it also has a red and black object on it .
scanrefer_250,176,none,E0,visual_attribute_default_e0,True,False,False,a white sink . on the side of the bathroom .
scanrefer_250,177,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a white keyboard . it is located below the computer screen on the right .
scanrefer_250,178,ordinal,E0,visual_attribute_default_e0,True,False,False,the chair is in one of the sides of the room . the color of the chair is brown .
scanrefer_250,179,none,E0,visual_attribute_default_e0,True,False,False,the highlighted object is the kitchen refrigerator . it has a freezer on top . it appears to have stainless steel components . there are magnets and other items stuck to the front and side of it .
scanrefer_250,180,opposite_derived,E0,visual_attribute_default_e0,True,False,False,the chair is black and is pushed into the desk . it is located pushed into the desk across from the bed .
scanrefer_250,181,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this bench is on the top left corner . it is dark .
scanrefer_250,182,ordinal,E0,visual_attribute_default_e0,True,False,False,this is a rectangular flat panel monitor . it is the last monitor on the right in the front row of monitors .
scanrefer_250,183,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a square table . it is to the left of shelves .
scanrefer_250,184,explicit_direction,E0,default_e0,False,False,False,this chair is on the right side . it is facing left .
scanrefer_250,185,geometric,E0,visual_attribute_default_e0,True,False,False,the multi color curtain is closest to the open closet door . right in front of this curtain there is door straight ahead .
scanrefer_250,186,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,a chair sits near a long wooden table . it is the second chair from the right .
scanrefer_250,187,none,E0,default_e0,False,True,False,this chair is in the middle . it is facing right .
scanrefer_250,188,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a black chair . it is to the left of another chair .
scanrefer_250,189,explicit_direction,E0,visual_attribute_default_e0,True,False,False,in the room there is a cream colored door to the left of the wooden shelves and to the right of the water heater . the door is slightly open and has a door handle about half way up on the right side .
scanrefer_250,190,explicit_direction,E0,default_e0,False,False,False,the picture is on the back wall of the room . it is to the right of the shower curtain .
scanrefer_250,191,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a metallic round table with a base of one pole . it is below the picture on the wall and between two red stools .
scanrefer_250,192,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the chair is left of a desk that is between the two blackboards . the chair is black with a curved back .
scanrefer_250,193,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the pillow is on a black couch that is placed in the northern corner of the room with a whiteboard above it . it has a dirty silver color and is shaped like a rectangular prism with one of the sides caved in .
scanrefer_250,194,geometric,E0,visual_attribute_default_e0,True,False,False,this is a white shelf . it is between tables .
scanrefer_250,195,none,E0,visual_attribute_default_e0,True,False,False,a wooden square table . in the middle of the room .
scanrefer_250,196,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,"the whiteboard is next to two doors . the whiteboard is a long , white rectangle ."
scanrefer_250,197,geometric,E0,visual_attribute_default_e0,True,False,False,the trash can is the second closest to the door out of the group of cans . the trash can has a plastic bag over it .
scanrefer_250,198,explicit_direction,E0,default_e0,False,True,False,this is the closet doors in the corner of the room . a bed is present in front of the closet .
scanrefer_250,199,geometric,E0,visual_attribute_default_e0,True,False,False,there are two black chairs situated between six brown chairs and a black couch . this black chair is next to the black couch . it appears to be leather . it is black . there is a snack machine on the opposite wall .
scanrefer_250,200,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,the chair is black and oriented beside another surface . it is spatially facing about 330 degrees in relation to the viewer .
scanrefer_250,201,explicit_direction,E0,default_e0,False,False,True,this is a framed picture on the wall in the bathroom . it is above the toilet .
scanrefer_250,202,object_orientation,E0,visual_attribute_default_e0,True,False,False,this window is bright . it is facing inward .
scanrefer_250,203,proximity_derived,seeground_ablation_spatial_only,pure_proximity_spatial,True,False,False,it is a white window . the white window is is next to the white window curtain .
scanrefer_250,204,explicit_direction,E0,visual_attribute_default_e0,True,False,False,this is a black keyboard . it is in front of a monitor .
scanrefer_250,205,explicit_direction,E0,default_e0,False,False,False,this storage bin is on the top right . it is box shaped .
scanrefer_250,206,ordinal,E0,visual_attribute_default_e0,True,False,False,the trash can is the rightmost one out of a row of three trash cans next to the bed . the trash can is blue and has a plastic bag on top .
scanrefer_250,207,explicit_direction,E0,visual_attribute_default_e0,True,False,False,the sink is north of the table in the center . the sink is rectangular and metallic .
scanrefer_250,208,explicit_direction,E0,visual_attribute_default_e0,True,False,False,"this is a brown table . it sets along the wall , with a microwave on top of it ."
scanrefer_250,209,explicit_direction,E0,visual_attribute_default_e0,True,False,False,there is a square brown nightstand . it is left of the bed .
